,movie,overview,preprocessed
10,Жизнь прекрасна ,Во время II Мировой войны в Италии в концлагерь были отправлены евреи; отец и его маленький сын. Жена; итальянка; добровольно последовала вслед за ними. В лагере отец сказал сыну; что все происходящее вокруг является очень большой игрой за приз в настоящий танк; который достанется тому мальчику; который сможет не попасться на глаза надзирателям.,"['миров', 'войн', 'итал', 'концлагер', 'отправл', 'евр', 'отец', 'маленьк', 'сын', 'жен', 'итальянк', 'добровольн', 'последова', 'вслед', 'лагер', 'отец', 'сын', 'происходя', 'явля', 'больш', 'игр', 'приз', 'настоя', 'танк', 'достанет', 'мальчик', 'сможет', 'попаст', 'глаз', 'надзирател']"
11,Достучаться до небес ,Судьба сводит героев картины в больнице; где врачи выносят им смертный приговор. Счет времени их жизней идет на часы. Дальнейшие события в фильме разворачиваются в стремительном темпе. Украв машину с миллионом немецких марок в багажнике; они сбегают из больницы.Их преследуют наемные убийцы; они становятся грабителями поневоле; за ними гонится полиция; они попадают в бордель. Но тем не менее продолжают мчаться вперед; навстречу своей судьбе.,"['судьб', 'свод', 'геро', 'картин', 'больниц', 'врач', 'вынос', 'смертн', 'приговор', 'счет', 'жизн', 'идет', 'час', 'дальн', 'событ', 'фильм', 'разворачива', 'стремительн', 'темп', 'укра', 'машин', 'миллион', 'немецк', 'марок', 'багажник', 'сбега', 'больниц', 'преслед', 'наемн', 'убийц', 'станов', 'грабител', 'поневол', 'гон', 'полиц', 'попада', 'бордел', 'продолжа', 'мчат', 'вперед', 'навстреч', 'судьб']"
12,Крестный отец ,Криминальная сага; повествующая о нью-йоркской сицилийской мафиозной семье Корлеоне. Фильм охватывает период 1945-1955 годов.Глава семьи; Дон Вито Корлеоне; выдаёт замуж свою дочь. В это время со Второй мировой войны возвращается его любимый сын Майкл. Майкл; герой войны; гордость семьи; не выражает желания заняться жестоким семейным бизнесом. Дон Корлеоне ведёт дела по старым правилам; но наступают иные времена; и появляются люди; желающие изменить сложившиеся порядки. На Дона Корлеоне совершается покушение.,"['криминальн', 'саг', 'повествующ', 'нью', 'йоркск', 'сицилийск', 'мафиозн', 'сем', 'корлеон', 'фильм', 'охватыва', 'период', 'год', 'глав', 'сем', 'дон', 'вит', 'корлеон', 'выда', 'замуж', 'доч', 'миров', 'войн', 'возвраща', 'любим', 'сын', 'майкл', 'майкл', 'гер', 'войн', 'гордост', 'сем', 'выража', 'желан', 'заня', 'жесток', 'семейн', 'бизнес', 'дон', 'корлеон', 'ведет', 'дел', 'стар', 'правил', 'наступа', 'ин', 'врем', 'появля', 'жела', 'измен', 'слож', 'порядк', 'дон', 'корлеон', 'соверша', 'покушен']"
13,Криминальное чтиво ,Двое бандитов Винсент Вега и Джулс Винфилд ведут философские беседы в перерывах между разборками и решением проблем с должниками криминального босса Марселласа Уоллеса.В первой истории Винсент проводит незабываемый вечер с женой Марселласа Мией. Во второй рассказывается о боксёре Бутче Кулидже; купленном Уоллесом; чтобы сдать бой. В третьей истории Винсент и Джулс по нелепой случайности попадают в неприятности.,"['дво', 'бандит', 'винсент', 'вег', 'джулс', 'винфилд', 'ведут', 'философск', 'бесед', 'перерыв', 'разборк', 'решен', 'пробл', 'должник', 'криминальн', 'босс', 'марселлас', 'уоллес', 'перв', 'истор', 'винсент', 'провод', 'незабыва', 'вечер', 'жен', 'марселлас', 'ми', 'рассказыва', 'боксер', 'бутч', 'кулидж', 'куплен', 'уоллес', 'сдат', 'бо', 'трет', 'истор', 'винсент', 'джулс', 'нелеп', 'случайн', 'попада', 'неприятн']"
14,Операция «Ы» и другие приключения Шурика ,Фильм состоит из трех новелл; объединенных фигурой главного героя Шурика; попадающего в самые невероятные ситуации. В «Напарнике» Шурик сражается с хулиганом Верзилой; в «Наваждении» весьма оригинальным способом готовится к экзамену; в «Операции «Ы» предотвращает «ограбление века»; на которое идет знаменитая тройка — Балбес; Трус и Бывалый.,"['фильм', 'состо', 'трех', 'новелл', 'объединен', 'фигур', 'главн', 'геро', 'шурик', 'попада', 'сам', 'невероятн', 'ситуац', 'напарник', 'шурик', 'сража', 'хулиган', 'верзил', 'наважден', 'весьм', 'оригинальн', 'способ', 'готов', 'экзамен', 'операц', 'предотвраща', 'ограблен', 'век', 'котор', 'идет', 'знаменит', 'тройк', 'балбес', 'трус', 'бывал']"
15,Престиж ,Роберт и Альфред — фокусники-иллюзионисты; которые на рубеже XIX и XX веков соперничали друг с другом в Лондоне. С годами их дружеская конкуренция на профессиональной почве перерастает в настоящую войну.Они готовы на все; чтобы выведать друг у друга секреты фантастических трюков и сорвать их исполнение. Непримиримая вражда; вспыхнувшая между ними; начинает угрожать жизни окружающих их людей…,"['роберт', 'альфред', 'фокусник', 'иллюзионист', 'рубеж', 'xix', 'век', 'сопернича', 'друг', 'друг', 'лондон', 'год', 'дружеск', 'конкуренц', 'профессиональн', 'почв', 'перераста', 'настоя', 'войн', 'готов', 'выведа', 'друг', 'друг', 'секрет', 'фантастическ', 'трюк', 'сорва', 'исполнен', 'непримирим', 'вражд', 'вспыхнувш', 'начина', 'угрожа', 'жизн', 'окружа', 'люд']"
16,Игры разума ,От всемирной известности до греховных глубин — все это познал на своей шкуре Джон Форбс Нэш-младший. Математический гений; он на заре своей карьеры сделал титаническую работу в области теории игр; которая перевернула этот раздел математики и практически принесла ему международную известность.Однако буквально в то же время заносчивый и пользующийся успехом у женщин Нэш получает удар судьбы; который переворачивает уже его собственную жизнь.,"['всемирн', 'известн', 'греховн', 'глубин', 'позна', 'шкур', 'джон', 'форбс', 'нэш', 'младш', 'математическ', 'ген', 'зар', 'карьер', 'сдела', 'титаническ', 'работ', 'област', 'теор', 'игр', 'перевернул', 'раздел', 'математик', 'практическ', 'принесл', 'международн', 'известн', 'буквальн', 'заносчив', 'польз', 'успех', 'женщин', 'нэш', 'получа', 'удар', 'судьб', 'переворачива', 'собствен']"
17,Интерстеллар ,Когда засуха; пыльные бури и вымирание растений приводят человечество к продовольственному кризису; коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие; чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.,"['засух', 'пыльн', 'бур', 'вымиран', 'растен', 'привод', 'человечеств', 'продовольствен', 'кризис', 'коллект', 'исследовател', 'учен', 'отправля', 'сквоз', 'червоточин', 'предположительн', 'соединя', 'област', 'пространств', 'больш', 'расстоян', 'путешеств', 'превзойт', 'прежн', 'ограничен', 'космическ', 'путешеств', 'человек', 'найт', 'планет', 'подходя', 'человечеств', 'услов']"
18,Властелин колец: Возвращение Короля ,Последняя часть трилогии о Кольце Всевластия и о героях; взявших на себя бремя спасения Средиземья. Повелитель сил Тьмы Саурон направляет свои бесчисленные рати под стены Минас-Тирита; крепости Последней Надежды. Он предвкушает близкую победу; но именно это и мешает ему заметить две крохотные фигурки — хоббитов; приближающихся к Роковой Горе; где им предстоит уничтожить Кольцо Всевластия. Улыбнется ли им счастье?,"['последн', 'част', 'трилог', 'кольц', 'всевласт', 'геро', 'взявш', 'брем', 'спасен', 'средизем', 'повелител', 'сил', 'тьмы', 'саурон', 'направля', 'бесчислен', 'рат', 'стен', 'минас', 'тирит', 'крепост', 'последн', 'надежд', 'предвкуша', 'близк', 'побед', 'меша', 'замет', 'крохотн', 'фигурк', 'хоббит', 'приближа', 'роков', 'гор', 'предсто', 'уничтож', 'кольц', 'всевласт', 'улыбнет', 'счаст']"
19,Гладиатор ,В великой Римской империи не было военачальника; равного генералу Максимусу. Непобедимые легионы; которыми командовал этот благородный воин; боготворили его и могли последовать за ним даже в ад.Но случилось так; что отважный Максимус; готовый сразиться с любым противником в честном бою; оказался бессилен против вероломных придворных интриг. Генерала предали и приговорили к смерти. Чудом избежав гибели; Максимус становится гладиатором.Быстро снискав себе славу в кровавых поединках; он оказывается в знаменитом римском Колизее; на арене которого он встретится в смертельной схватке со своим заклятым врагом…,"['велик', 'римск', 'импер', 'военачальник', 'равн', 'генерал', 'максимус', 'непобедим', 'легион', 'котор', 'командова', 'благородн', 'воин', 'боготвор', 'могл', 'последова', 'случ', 'отважн', 'максимус', 'готов', 'сраз', 'люб', 'противник', 'честн', 'бо', 'оказа', 'бессил', 'вероломн', 'придворн', 'интриг', 'генера', 'преда', 'приговор', 'смерт', 'чуд', 'избежа', 'гибел', 'максимус', 'станов', 'гладиатор', 'быстр', 'сниска', 'слав', 'кровав', 'поединк', 'оказыва', 'знаменит', 'римск', 'колиз', 'арен', 'встрет', 'смертельн', 'схватк', 'сво', 'заклят', 'враг']"
20,Назад в будущее ,Подросток Марти с помощью машины времени; сооружённой его другом-профессором доком Брауном; попадает из 80-х в далекие 50-е. Там он встречается со своими будущими родителями; ещё подростками; и другом-профессором; совсем молодым.,"['подросток', 'март', 'помощ', 'машин', 'сооружен', 'друг', 'профессор', 'док', 'браун', 'попада', 'далек', 'встреча', 'сво', 'будущ', 'родител', 'подростк', 'друг', 'профессор', 'молод']"
21,Карты; деньги; два ствола ,Четверо молодых парней накопили каждый по 25 тысяч фунтов; чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником; известным по кличке Гарри-Топор. Парень в итоге проиграл 500 тысяч; на уплату долга ему дали неделю.В противном случае и ему и его «спонсорам» каждый день будут отрубать по пальцу; а потом… Чтобы выйти из положения; ребята решили ограбить бандитов; решивших ограбить трех «ботаников»; выращивающих марихуану для местного наркобарона. Но на этом приключения четверки не заканчиваются…,"['четвер', 'молод', 'парн', 'накоп', 'фунт', 'сыгра', 'карт', 'опытн', 'шулер', 'матер', 'преступник', 'известн', 'кличк', 'гарр', 'топор', 'парен', 'итог', 'проигра', 'уплат', 'долг', 'дал', 'недел', 'противн', 'случа', 'спонсор', 'отруба', 'пальц', 'выйт', 'положен', 'ребят', 'реш', 'ограб', 'бандит', 'реш', 'ограб', 'трех', 'ботаник', 'выращива', 'марихуан', 'местн', 'наркобарон', 'приключен', 'четверк', 'заканчива']"
22,Матрица ,Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник; получающий нагоняи от начальства; а ночью превращается в хакера по имени Нео; и нет места в сети; куда он не смог бы дотянуться. Но однажды всё меняется — герой; сам того не желая; узнаёт страшную правду: всё; что его окружает — не более; чем иллюзия; Матрица; а люди — всего лишь источник питания для искусственного интеллекта; поработившего человечество. И только Нео под силу изменить расстановку сил в этом чужом и страшном мире.,"['томас', 'андерсон', 'раздел', 'част', 'днем', 'сам', 'обычн', 'офисн', 'работник', 'получа', 'нагоня', 'начальств', 'ноч', 'превраща', 'хакер', 'имен', 'не', 'мест', 'сет', 'смог', 'дотянут', 'меня', 'гер', 'жел', 'узна', 'страшн', 'правд', 'окружа', 'иллюз', 'матриц', 'источник', 'питан', 'искусствен', 'интеллект', 'поработ', 'человечеств', 'не', 'сил', 'измен', 'расстановк', 'сил', 'чуж', 'страшн', 'мир']"
23,Бриллиантовая рука ,В южном городке орудует шайка «валютчиков»; возглавляемая Шефом и его помощником Графом (в быту — Геной Козодоевым). Скромный советский служащий и примерный семьянин Семен Семенович Горбунков отправляется в зарубежный круиз на теплоходе; на котором также плывет Граф; который должен забрать бриллианты в одном из восточных городов и провезти их в загипсованной руке. Но в силу недоразумения вместо жулика на условленном месте падает ничего не подозревающий Семен Семенович; и драгоценный гипс накладывают ему. Вот тут-то все и начинается…,"['южн', 'городк', 'оруд', 'шайк', 'валютчик', 'возглавля', 'шеф', 'помощник', 'граф', 'быт', 'ген', 'козодоев', 'скромн', 'советск', 'служа', 'примерн', 'семьянин', 'сем', 'семенович', 'горбунк', 'отправля', 'зарубежн', 'круиз', 'теплоход', 'котор', 'плывет', 'граф', 'долж', 'забра', 'бриллиант', 'одн', 'восточн', 'город', 'провезт', 'загипсова', 'рук', 'сил', 'недоразумен', 'вмест', 'жулик', 'условлен', 'мест', 'пада', 'подозрева', 'сем', 'семенович', 'драгоцен', 'гипс', 'накладыва', 'начина']"
24,Отступники ,Два лучших выпускника полицейской академии оказались по разные стороны баррикады: один из них — агент мафии в рядах правоохранительных органов; другой — «крот»; внедрённый в мафию. Каждый считает своим долгом обнаружить и уничтожить противника; но постоянная жизнь в искажённых реалиях меняет внутренний мир героев.,"['лучш', 'выпускник', 'полицейск', 'академ', 'оказа', 'разн', 'сторон', 'баррикад', 'агент', 'маф', 'ряд', 'правоохранительн', 'орган', 'крот', 'внедрен', 'маф', 'счита', 'сво', 'долг', 'обнаруж', 'уничтож', 'противник', 'постоя', 'искажен', 'реал', 'меня', 'внутрен', 'мир', 'геро']"
25,Поймай меня; если сможешь ,Фрэнк Эбегнейл успел поработать врачом; адвокатом и пилотом на пассажирской авиалинии — и все это до достижения полного совершеннолетия в 21 год. Мастер в обмане и жульничестве; он также обладал искусством подделки документов; что в конечном счете принесло ему миллионы долларов; которые он получил по фальшивым чекам.Агент ФБР Карл Хэнрэтти отдал бы все; чтобы схватить Фрэнка и привлечь к ответственности за свои деяния; но Фрэнк всегда опережает его на шаг; заставляя продолжать погоню.,"['фрэнк', 'эбегнейл', 'успел', 'поработа', 'врач', 'адвокат', 'пилот', 'пассажирск', 'авиалин', 'достижен', 'полн', 'совершеннолет', 'мастер', 'обман', 'жульничеств', 'облада', 'искусств', 'подделк', 'документ', 'конечн', 'счет', 'принесл', 'миллион', 'доллар', 'получ', 'фальшив', 'чек', 'агент', 'фбр', 'карл', 'хэнрэтт', 'отда', 'схват', 'фрэнк', 'привлеч', 'ответствен', 'деян', 'фрэнк', 'опережа', 'шаг', 'заставл', 'продолжа', 'погон']"
26,Пианист ,Фильм снят по автобиографии Владислава Шпильмана; одного из лучших пианистов Польши 30-х годов прошлого века. Главный герой фильма — Владек — занимается искусством до тех пор; пока территорию Польши не занимают нацисты. Жизнь всех евреев меняется: их помещают в Варшавское гетто; запрещают работать; унижают; заставляют носить отличительные повязки; а через некоторое время отправляют в концлагерь.,"['фильм', 'снят', 'автобиограф', 'владислав', 'шпильма', 'лучш', 'пианист', 'польш', 'год', 'прошл', 'век', 'главн', 'гер', 'фильм', 'владек', 'занима', 'искусств', 'территор', 'польш', 'занима', 'нацист', 'евре', 'меня', 'помеща', 'варшавск', 'гетт', 'запреща', 'работа', 'унижа', 'заставля', 'нос', 'отличительн', 'повязк', 'некотор', 'отправля', 'концлагер']"
27,Властелин колец: Братство кольца ,Сказания о Средиземье — это хроника Великой войны за Кольцо; войны; длившейся не одну тысячу лет. Тот; кто владел Кольцом; получал власть над всеми живыми тварями; но был обязан служить злу. Тихая деревня; где живут хоббиты. Волшебник Гэндальф; придя на 111-й день рождения к своему старому другу Бильбо Бэггинсу; начинает вести разговор о кольце; которое Бильбо нашел много лет назад. Это кольцо принадлежало когда-то темному властителю Средиземья Саурону; и оно дает большую власть своему обладателю. Теперь Саурон хочет вернуть себе власть над Средиземьем. Бильбо отдает найденное кольцо своему племяннику Фродо; который пытается научиться справляться с тем страшным могуществом; которое дает ему кольцо…,"['сказан', 'средизем', 'хроник', 'велик', 'войн', 'кольц', 'войн', 'дливш', 'одн', 'тысяч', 'владел', 'кольц', 'получа', 'власт', 'жив', 'твар', 'обяза', 'служ', 'злу', 'тих', 'деревн', 'живут', 'хоббит', 'волшебник', 'гэндальф', 'прид', 'рожден', 'сво', 'стар', 'друг', 'бильб', 'бэггинс', 'начина', 'вест', 'разговор', 'кольц', 'котор', 'бильб', 'нашел', 'кольц', 'принадлежа', 'темн', 'властител', 'средизем', 'саурон', 'дает', 'больш', 'власт', 'сво', 'обладател', 'саурон', 'хочет', 'вернут', 'власт', 'средизем', 'бильб', 'отда', 'найден', 'кольц', 'сво', 'племянник', 'фрод', 'пыта', 'науч', 'справля', 'страшн', 'могуществ', 'котор', 'дает', 'кольц']"
28,В бой идут одни «старики» ,"Эта эскадрилья стала «поющей» — так капитан Титаренко подбирал себе новичков. Его «старикам» было не больше двадцати; но «желторотиков»; пополнение из летных училищ ускоренного выпуска; в бой все равно; по возможности; не пускали. 

Им еще многое предстояло испытать — и жар боев; и радость первой победы над врагом; и величие братства; скрепленного кровью; и первую любовь; и горечь утраты… И настанет день; когда по команде «в бой идут одни старики» бывшие желторотики бросятся к своим самолетам…","['эскадрил', 'стал', 'поющ', 'капита', 'титаренк', 'подбира', 'новичк', 'старик', 'двадцат', 'желторотик', 'пополнен', 'летн', 'училищ', 'ускорен', 'выпуск', 'бо', 'равн', 'возможн', 'пуска', 'мног', 'предстоя', 'испыта', 'жар', 'бо', 'радост', 'перв', 'побед', 'враг', 'велич', 'братств', 'скреплен', 'кров', 'перв', 'любов', 'гореч', 'утрат', 'настанет', 'команд', 'бо', 'идут', 'одн', 'старик', 'бывш', 'желторотик', 'брос', 'сво', 'самолет']"
29,ВАЛЛ·И ,Робот ВАЛЛ·И из года в год прилежно трудится на опустевшей Земле; очищая нашу планету от гор мусора; которые оставили после себя улетевшие в космос люди. Он и не представляет; что совсем скоро произойдут невероятные события; благодаря которым он встретит друзей; поднимется к звездам и даже сумеет изменить к лучшему своих бывших хозяев; совсем позабывших родную Землю.,"['робот', 'валл', 'прилежн', 'труд', 'опустевш', 'земл', 'очищ', 'наш', 'планет', 'гор', 'мусор', 'остав', 'улетевш', 'космос', 'представля', 'скор', 'произойдут', 'невероятн', 'событ', 'благодар', 'котор', 'встрет', 'друз', 'поднимет', 'звезд', 'сумеет', 'измен', 'лучш', 'бывш', 'хозя', 'позаб', 'родн', 'земл']"
